  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Kugrua Test Well #1 
148.13  -4.139
148.44  -4.127
148.74  -4.114
149.05  -4.102
149.35  -4.089
149.66  -4.077
149.96  -4.064
150.27  -4.052
150.57  -4.040
150.88  -4.027
151.18  -4.015
151.49  -4.003
151.79  -3.990
152.10  -3.978
152.40  -3.966
152.70  -3.954
153.01  -3.942
153.31  -3.931
153.62  -3.919
153.92  -3.907
154.23  -3.896
154.53  -3.885
154.84  -3.873
155.14  -3.862
155.45  -3.852
155.75  -3.841
156.06  -3.831
156.36  -3.821
156.67  -3.810
156.97  -3.800
157.28  -3.789
157.58  -3.778
157.89  -3.767
158.19  -3.756
158.50  -3.745
158.80  -3.733
159.11  -3.721
159.41  -3.709
159.72  -3.697
160.02  -3.684
160.32  -3.671
160.63  -3.657
160.93  -3.644
161.24  -3.630
161.54  -3.616
161.85  -3.602
162.15  -3.587
162.46  -3.574
162.76  -3.560
163.07  -3.547
163.37  -3.533
163.68  -3.520
163.98  -3.507
164.29  -3.494
164.59  -3.481
164.90  -3.469
165.20  -3.456
165.51  -3.444
165.81  -3.432
166.12  -3.419
166.42  -3.407
166.73  -3.396
167.03  -3.384
167.34  -3.372
167.64  -3.360
167.94  -3.348
168.25  -3.335
168.55  -3.323
168.86  -3.311
169.16  -3.299
169.47  -3.287
169.77  -3.275
170.08  -3.263
170.38  -3.252
170.69  -3.240
170.99  -3.228
171.30  -3.216
171.60  -3.205
171.91  -3.193
172.21  -3.182
172.52  -3.170
172.82  -3.158
173.13  -3.147
173.43  -3.136
173.74  -3.124
174.04  -3.113
174.35  -3.102
174.65  -3.091
174.96  -3.080
175.26  -3.069
175.56  -3.059
175.87  -3.048
176.17  -3.037
176.48  -3.026
176.78  -3.016
177.09  -3.005
177.39  -2.994
177.70  -2.983
178.00  -2.972
178.31  -2.960
178.61  -2.949
178.92  -2.937
179.22  -2.926
179.53  -2.914
179.83  -2.902
180.14  -2.889
180.44  -2.877
180.75  -2.864
181.05  -2.851
181.36  -2.839
181.66  -2.826
181.97  -2.814
182.27  -2.802
182.58  -2.790
182.88  -2.779
183.18  -2.768
183.49  -2.756
183.79  -2.746
184.10  -2.735
184.40  -2.724
184.71  -2.714
185.01  -2.705
185.32  -2.695
185.62  -2.686
185.93  -2.676
186.23  -2.667
186.54  -2.658
186.84  -2.649
187.15  -2.640
187.45  -2.630
187.76  -2.621
188.06  -2.611
188.37  -2.602
188.67  -2.592
188.98  -2.583
189.28  -2.573
189.59  -2.564
189.89  -2.554
190.20  -2.545
190.50  -2.536
190.80  -2.526
191.11  -2.517
191.41  -2.507
191.72  -2.498
192.02  -2.488
192.33  -2.479
192.63  -2.469
192.94  -2.460
193.24  -2.450
193.55  -2.441
193.85  -2.431
194.16  -2.421
194.46  -2.411
194.77  -2.401
195.07  -2.391
195.38  -2.381
195.68  -2.371
195.99  -2.360
196.29  -2.350
196.60  -2.340
196.90  -2.330
197.21  -2.319
197.51  -2.309
197.82  -2.299
198.12  -2.289
198.42  -2.279
198.73  -2.268
199.03  -2.258
199.34  -2.248
199.64  -2.238
199.95  -2.228
200.25  -2.217
200.56  -2.207
200.86  -2.197
201.17  -2.187
201.47  -2.177
201.78  -2.166
202.08  -2.156
202.39  -2.146
202.69  -2.135
203.00  -2.125
203.30  -2.115
203.61  -2.104
203.91  -2.094
204.22  -2.084
204.52  -2.074
204.83  -2.063
205.13  -2.053
205.44  -2.043
205.74  -2.033
206.04  -2.022
206.35  -2.012
206.65  -2.002
206.96  -1.991
207.26  -1.981
207.57  -1.971
207.87  -1.960
208.18  -1.950
208.48  -1.939
208.79  -1.929
209.09  -1.918
209.40  -1.908
209.70  -1.897
210.01  -1.886
210.31  -1.876
210.62  -1.865
210.92  -1.855
211.23  -1.844
211.53  -1.834
211.84  -1.824
212.14  -1.813
212.45  -1.803
212.75  -1.793
213.06  -1.783
213.36  -1.772
213.66  -1.762
213.97  -1.752
214.27  -1.742
214.58  -1.732
214.88  -1.722
215.19  -1.712
215.49  -1.702
215.80  -1.692
216.10  -1.683
216.41  -1.673
216.71  -1.664
217.02  -1.655
217.32  -1.646
217.63  -1.638
217.93  -1.629
218.24  -1.621
218.54  -1.613
218.85  -1.605
219.15  -1.597
219.46  -1.590
219.76  -1.582
220.07  -1.575
220.37  -1.568
220.68  -1.561
220.98  -1.554
221.28  -1.547
221.59  -1.540
221.89  -1.534
222.20  -1.527
222.50  -1.520
222.81  -1.513
223.11  -1.507
223.42  -1.500
223.72  -1.494
224.03  -1.487
224.33  -1.481
224.64  -1.475
224.94  -1.469
225.25  -1.462
225.55  -1.456
225.86  -1.450
226.16  -1.443
226.47  -1.437
226.77  -1.430
227.08  -1.423
227.38  -1.417
227.69  -1.410
227.99  -1.403
228.30  -1.396
228.60  -1.389
228.90  -1.381
229.21  -1.374
229.51  -1.366
229.82  -1.358
230.12  -1.351
230.43  -1.343
230.73  -1.335
231.04  -1.327
231.34  -1.319
231.65  -1.311
231.95  -1.303
232.26  -1.295
232.56  -1.287
232.87  -1.279
233.17  -1.271
233.48  -1.263
233.78  -1.254
234.09  -1.246
234.39  -1.237
234.70  -1.229
235.00  -1.220
235.31  -1.212
235.61  -1.203
235.92  -1.194
236.22  -1.185
236.52  -1.177
236.83  -1.168
237.13  -1.159
237.44  -1.150
237.74  -1.142
238.05  -1.133
238.35  -1.124
238.66  -1.116
238.96  -1.108
239.27  -1.099
239.57  -1.091
239.88  -1.082
240.18  -1.074
240.49  -1.065
240.79  -1.056
241.10  -1.047
241.40  -1.038
241.71  -1.029
242.01  -1.020
242.32  -1.011
242.62  -1.002
242.93  -0.992
243.23  -0.983
243.54  -0.973
244.14  -0.953
244.45  -0.943
244.75  -0.933
245.06  -0.924
245.36  -0.914
245.67  -0.905
245.97  -0.896
246.28  -0.887
246.58  -0.878
246.89  -0.869
247.19  -0.861
247.50  -0.853
247.80  -0.844
248.11  -0.837
248.41  -0.829
248.72  -0.821
249.02  -0.814
249.33  -0.807
249.63  -0.800
249.94  -0.793
250.55  -0.779
250.85  -0.772
251.16  -0.766
251.46  -0.759
251.76  -0.753
252.07  -0.747
252.37  -0.740
252.68  -0.735
252.98  -0.729
253.29  -0.723
253.59  -0.718
253.90  -0.713
254.20  -0.708
254.51  -0.703
254.81  -0.697
255.12  -0.692
255.42  -0.687
255.73  -0.682
256.03  -0.677
256.34  -0.672
256.64  -0.667
256.95  -0.661
257.25  -0.656
257.56  -0.650
257.86  -0.644
258.17  -0.637
258.47  -0.631
258.78  -0.624
259.08  -0.617
259.38  -0.610
259.69  -0.604
259.99  -0.597
260.30  -0.590
260.60  -0.583
260.91  -0.576
261.21  -0.569
261.52  -0.561
261.82  -0.554
262.13  -0.548
262.43  -0.541
262.74  -0.536
263.04  -0.531
263.35  -0.526
263.65  -0.521
263.96  -0.515
264.26  -0.509
264.57  -0.502
264.87  -0.495
265.18  -0.486
265.48  -0.477
265.79  -0.466
266.09  -0.454
266.40  -0.442
266.70  -0.428
267.00  -0.414
267.31  -0.397
267.61  -0.378
267.92  -0.358
268.22  -0.336
268.53  -0.314
269.14  -0.270
269.44  -0.248
269.75  -0.227
270.05  -0.207
270.36  -0.189
270.97  -0.155
271.27  -0.139
271.58  -0.124
271.88  -0.109
272.19  -0.097
272.49  -0.085
272.80  -0.075
273.10  -0.065
273.41  -0.057
273.71  -0.049
274.02  -0.041
274.32  -0.034
274.62  -0.026
274.93  -0.018
275.23  -0.009
275.54   0.000
275.84   0.010
276.15   0.018
276.45   0.027
276.76   0.036
277.06   0.044
277.37   0.052
277.67   0.060
277.98   0.067
278.28   0.075
278.59   0.082
278.89   0.090
279.20   0.097
279.50   0.105
279.81   0.112
280.11   0.119
280.42   0.127
280.72   0.134
281.03   0.142
281.33   0.150
281.64   0.158
281.94   0.166
282.24   0.175
282.55   0.185
282.85   0.195
283.16   0.205
283.46   0.215
283.77   0.225
284.07   0.235
284.38   0.245
284.68   0.255
284.99   0.265
285.29   0.274
285.60   0.283
285.90   0.293
286.21   0.302
286.51   0.311
286.82   0.320
287.12   0.328
287.43   0.337
287.73   0.345
288.04   0.353
288.34   0.362
288.65   0.370
288.95   0.378
289.26   0.387
289.56   0.396
289.86   0.405
290.17   0.414
290.47   0.424
290.78   0.433
291.08   0.443
291.39   0.452
291.69   0.462
292.00   0.473
292.30   0.483
292.61   0.494
292.91   0.504
293.22   0.515
293.52   0.525
293.83   0.536
294.13   0.546
294.44   0.557
294.74   0.567
295.05   0.577
295.35   0.586
295.66   0.596
295.96   0.606
296.27   0.615
296.57   0.624
296.88   0.633
297.18   0.642
297.48   0.650
297.79   0.659
298.09   0.667
298.40   0.676
298.70   0.684
299.01   0.693
299.31   0.701
299.62   0.710
299.92   0.719
300.23   0.728
300.53   0.737
300.84   0.746
301.14   0.755
301.45   0.764
301.75   0.773
302.06   0.783
302.36   0.792
302.67   0.801
302.97   0.811
303.28   0.820
303.58   0.830
303.89   0.839
304.19   0.848
304.50   0.858
304.80   0.867
305.10   0.876
305.41   0.884
305.71   0.893
306.02   0.902
306.32   0.911
306.63   0.919
306.93   0.928
307.24   0.936
307.54   0.944
307.85   0.953
308.15   0.961
308.46   0.970
308.76   0.978
309.07   0.987
309.37   0.996
309.68   1.004
309.98   1.013
310.29   1.023
310.59   1.032
310.90   1.041
311.20   1.051
311.51   1.060
311.81   1.070
312.12   1.080
312.42   1.090
312.72   1.101
313.03   1.111
313.33   1.121
313.64   1.132
313.94   1.142
314.25   1.152
314.55   1.162
314.86   1.172
315.16   1.183
315.47   1.193
315.77   1.203
316.08   1.213
316.38   1.223
316.69   1.233
316.99   1.243
317.30   1.252
317.60   1.262
317.91   1.273
318.21   1.283
318.82   1.304
319.13   1.315
319.43   1.327
319.74   1.338
320.04   1.350
320.34   1.362
320.65   1.375
320.95   1.387
321.26   1.401
321.56   1.414
321.87   1.428
322.17   1.442
322.48   1.456
322.78   1.470
323.09   1.484
323.39   1.498
323.70   1.512
324.00   1.526
324.31   1.539
324.61   1.553
324.92   1.566
325.22   1.580
325.53   1.593
325.83   1.606
326.14   1.619
326.44   1.632
326.75   1.645
327.05   1.657
327.36   1.670
327.66   1.682
327.96   1.695
328.27   1.707
328.57   1.719
328.88   1.732
329.18   1.744
329.49   1.757
329.79   1.769
330.10   1.781
330.40   1.793
330.71   1.805
331.01   1.817
331.32   1.829
331.62   1.840
331.93   1.852
332.23   1.863
332.54   1.874
332.84   1.886
333.15   1.897
333.45   1.909
333.76   1.920
334.06   1.931
334.37   1.943
334.67   1.954
334.98   1.966
335.28   1.977
335.58   1.988
335.89   2.000
336.19   2.011
336.50   2.022
336.80   2.034
337.11   2.045
337.41   2.057
337.72   2.068
338.02   2.080
338.33   2.091
338.63   2.103
338.94   2.114
339.24   2.126
339.55   2.138
339.85   2.149
340.16   2.161
340.46   2.173
340.77   2.185
341.07   2.198
341.38   2.210
341.68   2.222
341.99   2.235
342.29   2.247
342.60   2.260
342.90   2.272
343.20   2.284
343.51   2.296
343.81   2.308
344.12   2.319
344.42   2.331
344.73   2.343
345.03   2.354
345.34   2.365
345.64   2.376
345.95   2.386
346.25   2.397
346.56   2.407
346.86   2.418
347.17   2.428
347.47   2.438
347.78   2.449
348.08   2.460
348.39   2.470
348.69   2.481
349.00   2.492
349.30   2.503
349.61   2.514
349.91   2.525
350.22   2.536
350.52   2.547
350.82   2.559
351.13   2.570
351.43   2.582
351.74   2.593
352.04   2.605
352.35   2.616
352.65   2.628
352.96   2.639
353.26   2.650
353.57   2.661
353.87   2.672
354.18   2.683
354.48   2.694
354.79   2.705
355.09   2.716
355.40   2.727
355.70   2.738
356.01   2.749
356.31   2.760
356.62   2.771
356.92   2.782
357.23   2.793
357.53   2.804
357.84   2.815
358.14   2.827
358.44   2.838
358.75   2.849
359.05   2.860
359.36   2.871
359.66   2.882
359.97   2.893
360.27   2.903
360.58   2.913
360.88   2.923
361.19   2.934
361.49   2.944
361.80   2.955
362.10   2.965
362.41   2.976
362.71   2.988
363.02   2.999
363.32   3.011
363.63   3.024
363.93   3.036
364.24   3.049
364.54   3.062
364.85   3.076
365.15   3.091
365.46   3.106
365.76   3.122
366.06   3.138
366.37   3.154
366.98   3.185
367.28   3.201
367.59   3.216
367.89   3.230
368.20   3.245
368.50   3.259
368.81   3.273
369.11   3.286
369.42   3.299
369.72   3.312
370.03   3.324
370.33   3.336
370.64   3.348
370.94   3.359
371.25   3.370
371.55   3.381
371.86   3.392
372.16   3.404
372.47   3.415
372.77   3.427
373.08   3.439
373.38   3.452
373.68   3.464
373.99   3.476
374.29   3.489
374.60   3.501
374.90   3.514
375.21   3.526
375.51   3.538
375.82   3.551
376.12   3.564
376.43   3.576
376.73   3.589
377.04   3.602
377.34   3.615
377.65   3.629
377.95   3.642
378.26   3.656
378.56   3.670
378.87   3.683
379.17   3.697
379.48   3.712
