  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
195.99  -5.726
196.29  -5.717
196.60  -5.708
196.90  -5.698
197.21  -5.689
197.51  -5.680
197.82  -5.670
198.12  -5.660
198.42  -5.651
198.73  -5.641
199.03  -5.631
199.34  -5.620
199.64  -5.610
199.95  -5.600
200.25  -5.590
200.56  -5.580
200.86  -5.570
201.17  -5.560
201.47  -5.550
201.78  -5.540
202.08  -5.531
202.39  -5.521
202.69  -5.512
203.00  -5.502
203.30  -5.493
203.61  -5.484
203.91  -5.475
204.22  -5.467
204.52  -5.458
204.83  -5.449
205.13  -5.440
205.44  -5.432
205.74  -5.423
206.04  -5.414
206.35  -5.405
206.65  -5.395
206.96  -5.386
207.26  -5.376
207.57  -5.367
207.87  -5.357
208.18  -5.347
208.48  -5.337
208.79  -5.327
209.09  -5.317
209.40  -5.307
209.70  -5.296
210.01  -5.286
210.31  -5.275
210.62  -5.265
210.92  -5.255
211.23  -5.244
211.53  -5.234
211.84  -5.224
212.14  -5.214
212.45  -5.204
212.75  -5.193
213.06  -5.183
213.36  -5.173
213.66  -5.163
213.97  -5.153
214.27  -5.142
214.58  -5.132
214.88  -5.122
215.19  -5.112
215.49  -5.102
215.80  -5.091
216.10  -5.081
216.41  -5.071
216.71  -5.060
217.02  -5.050
217.32  -5.040
217.63  -5.029
217.93  -5.019
218.24  -5.008
218.54  -4.998
218.85  -4.987
219.15  -4.977
219.46  -4.966
219.76  -4.956
220.07  -4.945
220.37  -4.935
220.68  -4.925
220.98  -4.915
221.28  -4.905
221.59  -4.895
221.89  -4.885
222.20  -4.876
222.50  -4.866
222.81  -4.857
223.11  -4.848
223.42  -4.839
223.72  -4.831
224.03  -4.822
224.33  -4.814
224.64  -4.805
224.94  -4.797
225.25  -4.788
225.55  -4.779
225.86  -4.771
226.16  -4.762
226.47  -4.753
226.77  -4.744
227.08  -4.736
227.38  -4.727
227.69  -4.718
227.99  -4.709
228.30  -4.700
228.60  -4.691
228.90  -4.682
229.21  -4.673
229.51  -4.663
229.82  -4.654
230.12  -4.645
230.43  -4.636
230.73  -4.628
231.04  -4.619
231.34  -4.610
231.65  -4.601
231.95  -4.592
232.26  -4.584
232.56  -4.575
232.87  -4.566
233.17  -4.558
233.48  -4.549
233.78  -4.540
234.09  -4.532
234.39  -4.523
234.70  -4.514
235.00  -4.506
235.31  -4.497
235.61  -4.489
235.92  -4.480
236.22  -4.472
236.52  -4.463
236.83  -4.455
237.13  -4.446
237.44  -4.438
237.74  -4.430
238.05  -4.421
238.35  -4.413
238.66  -4.405
238.96  -4.397
239.27  -4.389
239.57  -4.381
239.88  -4.373
240.18  -4.365
240.49  -4.357
240.79  -4.349
241.10  -4.341
241.40  -4.333
241.71  -4.325
242.01  -4.317
242.32  -4.309
242.62  -4.301
242.93  -4.293
243.23  -4.286
243.54  -4.278
243.84  -4.270
244.14  -4.263
244.45  -4.255
244.75  -4.248
