  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Meade Test Well #1 
 64.92  -5.863
 65.23  -5.848
 65.53  -5.833
 65.84  -5.817
 66.14  -5.801
 66.45  -5.785
 66.75  -5.769
 67.06  -5.753
 67.36  -5.736
 67.67  -5.719
 67.97  -5.701
 68.28  -5.682
 68.58  -5.664
 68.88  -5.646
 69.19  -5.628
 69.49  -5.609
 69.80  -5.591
 70.10  -5.574
 70.41  -5.557
 70.71  -5.540
 71.02  -5.523
 71.32  -5.507
 71.63  -5.491
 71.93  -5.475
 72.24  -5.459
 72.54  -5.445
 72.85  -5.431
 73.15  -5.416
 73.46  -5.403
 73.76  -5.389
 74.07  -5.375
 74.37  -5.361
 74.68  -5.346
 74.98  -5.332
 75.29  -5.316
 75.59  -5.300
 75.90  -5.284
 76.20  -5.268
 76.50  -5.252
 76.81  -5.235
 77.11  -5.218
 77.42  -5.200
 77.72  -5.181
 78.03  -5.162
 78.33  -5.143
 78.64  -5.124
 78.94  -5.105
 79.25  -5.086
 79.55  -5.067
 79.86  -5.049
 80.16  -5.031
 80.47  -5.013
 80.77  -4.995
 81.08  -4.978
 81.38  -4.961
 81.69  -4.944
 81.99  -4.927
 82.30  -4.911
 82.60  -4.895
 82.91  -4.880
 83.21  -4.864
 83.52  -4.849
 83.82  -4.833
 84.12  -4.818
 84.43  -4.802
 84.73  -4.786
 85.04  -4.770
 85.34  -4.754
 85.65  -4.737
 85.95  -4.721
 86.26  -4.704
 86.56  -4.687
 86.87  -4.670
 87.17  -4.652
 87.48  -4.635
 87.78  -4.617
 88.09  -4.599
 88.39  -4.581
 88.70  -4.564
 89.00  -4.546
 89.31  -4.529
 89.61  -4.512
 89.92  -4.495
 90.22  -4.479
 90.53  -4.462
 90.83  -4.446
 91.14  -4.431
 91.44  -4.415
 91.74  -4.400
 92.05  -4.385
 92.35  -4.370
 92.66  -4.355
 93.27  -4.327
 93.57  -4.313
 93.88  -4.299
 94.18  -4.285
 94.49  -4.272
 94.79  -4.258
 95.10  -4.245
 95.40  -4.231
 95.71  -4.218
 96.01  -4.205
 96.32  -4.191
 96.62  -4.178
 96.93  -4.165
 97.23  -4.152
 97.54  -4.140
 97.84  -4.127
 98.15  -4.114
 98.45  -4.102
 98.76  -4.090
 99.06  -4.078
 99.36  -4.066
 99.67  -4.055
 99.97  -4.043
100.28  -4.032
100.58  -4.021
100.89  -4.011
101.19  -4.000
101.50  -3.990
101.80  -3.980
102.11  -3.971
102.41  -3.961
102.72  -3.952
103.02  -3.942
103.33  -3.933
103.63  -3.924
103.94  -3.914
104.24  -3.904
104.55  -3.894
104.85  -3.883
105.16  -3.872
105.46  -3.861
105.77  -3.850
106.07  -3.839
106.38  -3.827
106.68  -3.816
106.98  -3.804
107.29  -3.791
107.59  -3.779
107.90  -3.766
108.20  -3.753
108.51  -3.739
108.81  -3.726
109.12  -3.712
109.42  -3.698
109.73  -3.684
110.03  -3.670
110.34  -3.655
110.64  -3.640
110.95  -3.625
111.25  -3.609
111.56  -3.592
111.86  -3.575
112.17  -3.558
112.47  -3.541
112.78  -3.523
113.08  -3.505
113.39  -3.487
113.69  -3.469
114.00  -3.452
114.30  -3.434
114.60  -3.417
114.91  -3.399
115.21  -3.382
115.52  -3.364
115.82  -3.347
116.13  -3.330
116.43  -3.313
116.74  -3.296
117.04  -3.280
117.35  -3.263
117.65  -3.247
117.96  -3.230
118.26  -3.214
118.57  -3.197
118.87  -3.180
119.18  -3.163
119.48  -3.146
119.79  -3.129
120.09  -3.112
120.40  -3.094
120.70  -3.077
121.01  -3.059
121.31  -3.042
121.62  -3.024
121.92  -3.007
122.22  -2.989
122.53  -2.972
122.83  -2.954
123.14  -2.936
123.44  -2.919
123.75  -2.901
124.05  -2.884
124.36  -2.866
124.66  -2.849
124.97  -2.831
125.27  -2.814
125.58  -2.796
125.88  -2.779
126.19  -2.761
126.49  -2.744
126.80  -2.726
127.10  -2.709
127.41  -2.691
127.71  -2.673
128.02  -2.656
128.32  -2.638
128.63  -2.620
128.93  -2.602
129.24  -2.584
129.54  -2.566
129.84  -2.548
130.15  -2.529
130.45  -2.511
130.76  -2.492
131.06  -2.474
131.37  -2.455
131.67  -2.436
131.98  -2.417
132.28  -2.398
132.59  -2.379
132.89  -2.359
133.20  -2.340
133.50  -2.321
133.81  -2.302
134.11  -2.283
134.42  -2.263
134.72  -2.244
135.03  -2.225
135.33  -2.206
135.64  -2.186
135.94  -2.167
136.25  -2.148
136.55  -2.129
136.86  -2.110
137.16  -2.091
137.46  -2.071
137.77  -2.052
138.07  -2.033
138.38  -2.014
138.68  -1.995
138.99  -1.976
139.29  -1.956
139.60  -1.937
139.90  -1.918
140.21  -1.899
140.51  -1.880
140.82  -1.861
141.12  -1.841
141.43  -1.822
141.73  -1.803
142.04  -1.784
142.34  -1.765
142.65  -1.747
142.95  -1.729
143.26  -1.711
143.56  -1.693
143.87  -1.676
144.17  -1.659
144.48  -1.643
144.78  -1.626
145.08  -1.610
145.39  -1.593
145.69  -1.577
146.30  -1.545
146.61  -1.529
146.91  -1.513
147.22  -1.498
147.52  -1.482
147.83  -1.468
148.13  -1.453
148.44  -1.439
148.74  -1.425
149.05  -1.412
149.35  -1.398
149.66  -1.385
149.96  -1.372
150.27  -1.360
150.57  -1.348
150.88  -1.336
151.18  -1.325
151.49  -1.313
151.79  -1.302
152.10  -1.291
152.40  -1.281
152.70  -1.270
153.01  -1.260
153.31  -1.250
153.62  -1.239
153.92  -1.229
154.23  -1.220
154.53  -1.210
154.84  -1.200
155.14  -1.190
155.45  -1.180
155.75  -1.171
156.06  -1.161
156.36  -1.151
156.67  -1.142
156.97  -1.132
157.28  -1.123
157.58  -1.114
157.89  -1.106
158.19  -1.098
158.50  -1.090
158.80  -1.082
159.11  -1.075
159.41  -1.067
159.72  -1.060
160.02  -1.054
160.32  -1.048
160.63  -1.042
160.93  -1.036
161.24  -1.031
161.54  -1.025
161.85  -1.020
162.15  -1.015
162.46  -1.009
162.76  -1.003
163.07  -0.997
163.37  -0.990
163.68  -0.984
163.98  -0.977
164.29  -0.970
164.59  -0.963
164.90  -0.956
165.20  -0.949
165.51  -0.941
165.81  -0.934
166.12  -0.926
166.42  -0.917
166.73  -0.909
167.03  -0.900
167.34  -0.892
167.64  -0.883
167.94  -0.874
168.25  -0.865
168.55  -0.856
168.86  -0.846
169.16  -0.836
169.47  -0.827
169.77  -0.816
170.08  -0.805
170.38  -0.794
170.69  -0.783
170.99  -0.771
171.30  -0.759
171.60  -0.747
171.91  -0.735
172.21  -0.724
172.52  -0.712
172.82  -0.701
173.13  -0.690
173.43  -0.679
174.04  -0.657
174.35  -0.645
174.65  -0.634
174.96  -0.622
175.26  -0.610
175.56  -0.597
175.87  -0.585
176.17  -0.572
176.48  -0.560
176.78  -0.547
177.09  -0.535
177.39  -0.523
177.70  -0.511
178.00  -0.499
178.31  -0.487
178.61  -0.475
178.92  -0.463
179.22  -0.450
179.53  -0.438
179.83  -0.425
180.14  -0.412
180.44  -0.399
180.75  -0.386
181.05  -0.373
181.36  -0.360
181.66  -0.348
181.97  -0.335
182.27  -0.323
182.58  -0.311
182.88  -0.300
183.18  -0.288
183.49  -0.277
183.79  -0.266
184.10  -0.256
184.40  -0.246
184.71  -0.237
185.01  -0.228
185.32  -0.220
185.62  -0.211
185.93  -0.203
186.23  -0.195
186.54  -0.186
186.84  -0.177
187.15  -0.167
187.45  -0.156
187.76  -0.145
188.06  -0.134
188.37  -0.122
188.67  -0.110
188.98  -0.097
189.28  -0.084
189.59  -0.071
189.89  -0.057
190.20  -0.043
190.50  -0.029
190.80  -0.014
191.11   0.002
191.41   0.017
191.72   0.033
192.02   0.048
192.33   0.064
192.63   0.080
192.94   0.096
193.24   0.112
193.55   0.128
193.85   0.145
194.16   0.163
194.46   0.181
194.77   0.201
195.07   0.220
195.38   0.240
195.68   0.259
195.99   0.279
196.29   0.297
196.60   0.315
196.90   0.331
197.21   0.346
197.51   0.361
197.82   0.374
198.12   0.388
198.42   0.401
198.73   0.413
199.03   0.426
199.34   0.438
199.64   0.450
199.95   0.462
200.25   0.473
200.56   0.485
200.86   0.496
201.17   0.507
201.47   0.518
201.78   0.528
202.08   0.539
202.39   0.549
202.69   0.560
203.00   0.570
203.30   0.581
203.61   0.592
203.91   0.603
204.22   0.614
204.52   0.626
204.83   0.638
205.13   0.650
205.44   0.662
205.74   0.675
206.04   0.687
206.35   0.699
206.65   0.711
206.96   0.723
207.26   0.735
207.57   0.746
207.87   0.758
208.18   0.770
208.48   0.782
208.79   0.794
209.09   0.807
209.40   0.820
209.70   0.833
210.01   0.846
210.31   0.859
210.62   0.872
210.92   0.885
211.23   0.898
211.53   0.911
211.84   0.924
212.14   0.937
212.45   0.950
212.75   0.963
213.06   0.976
213.36   0.989
213.66   1.001
213.97   1.014
214.27   1.027
214.58   1.039
214.88   1.052
215.19   1.064
215.49   1.076
215.80   1.089
216.10   1.101
216.41   1.114
216.71   1.126
217.02   1.139
217.32   1.151
217.63   1.164
217.93   1.176
218.24   1.189
218.54   1.201
218.85   1.213
219.15   1.226
219.46   1.238
219.76   1.250
220.07   1.262
220.37   1.274
220.68   1.287
220.98   1.299
221.28   1.310
221.59   1.322
221.89   1.334
222.20   1.345
222.50   1.357
222.81   1.368
223.11   1.380
223.42   1.391
223.72   1.402
224.03   1.414
224.33   1.425
224.64   1.436
224.94   1.447
225.25   1.458
225.55   1.468
225.86   1.479
226.16   1.490
226.47   1.500
226.77   1.511
227.08   1.521
227.38   1.531
227.69   1.542
227.99   1.552
228.30   1.562
228.60   1.571
228.90   1.581
229.21   1.591
229.51   1.600
229.82   1.610
230.12   1.619
230.43   1.629
230.73   1.638
231.04   1.648
231.34   1.658
231.65   1.668
231.95   1.677
232.26   1.687
232.56   1.697
232.87   1.707
233.17   1.717
233.48   1.727
233.78   1.738
234.09   1.748
234.39   1.758
234.70   1.769
235.00   1.779
235.31   1.790
235.61   1.800
235.92   1.811
236.22   1.822
236.52   1.833
236.83   1.843
237.13   1.854
237.44   1.866
237.74   1.877
238.05   1.888
238.35   1.899
238.66   1.911
238.96   1.923
239.27   1.934
239.57   1.946
239.88   1.958
240.18   1.970
240.49   1.982
240.79   1.994
241.10   2.005
241.40   2.017
241.71   2.029
242.01   2.041
242.32   2.053
242.62   2.065
242.93   2.077
243.23   2.089
243.54   2.101
243.84   2.113
244.14   2.125
244.45   2.137
244.75   2.149
245.06   2.161
245.36   2.173
245.67   2.185
245.97   2.197
246.28   2.208
246.58   2.220
246.89   2.231
247.19   2.243
247.50   2.254
247.80   2.265
248.11   2.275
248.41   2.286
248.72   2.296
249.02   2.306
249.33   2.316
249.63   2.326
249.94   2.337
250.24   2.347
250.55   2.357
250.85   2.368
251.16   2.379
251.46   2.390
251.76   2.401
252.07   2.412
252.37   2.423
252.68   2.435
252.98   2.447
253.29   2.458
253.59   2.471
253.90   2.483
254.20   2.495
254.81   2.520
255.12   2.532
255.42   2.544
255.73   2.556
256.03   2.569
256.34   2.581
256.64   2.593
256.95   2.605
257.25   2.617
257.56   2.629
257.86   2.642
258.17   2.654
258.47   2.666
258.78   2.678
259.08   2.690
259.38   2.703
259.69   2.715
259.99   2.728
260.30   2.740
260.60   2.753
260.91   2.766
261.21   2.779
261.52   2.792
261.82   2.805
262.13   2.818
262.43   2.832
262.74   2.845
263.04   2.859
263.35   2.873
263.65   2.887
263.96   2.900
264.26   2.914
264.57   2.928
264.87   2.942
265.18   2.956
265.79   2.984
266.09   2.998
266.40   3.012
266.70   3.026
267.00   3.040
267.31   3.054
267.61   3.067
267.92   3.081
268.22   3.094
268.53   3.108
268.83   3.121
269.14   3.135
269.44   3.148
269.75   3.162
270.05   3.176
270.36   3.190
270.66   3.204
270.97   3.218
271.27   3.232
271.58   3.246
271.88   3.261
272.19   3.276
272.49   3.291
272.80   3.306
273.10   3.321
273.41   3.337
273.71   3.352
274.02   3.367
274.32   3.382
274.62   3.397
274.93   3.411
275.23   3.425
275.54   3.439
275.84   3.452
276.15   3.465
276.45   3.478
276.76   3.491
277.06   3.503
277.37   3.514
277.67   3.525
277.98   3.535
278.28   3.546
278.59   3.556
278.89   3.566
279.20   3.576
279.50   3.585
279.81   3.596
280.11   3.606
280.42   3.616
280.72   3.627
281.03   3.637
281.33   3.648
281.64   3.658
281.94   3.668
282.24   3.679
282.55   3.690
282.85   3.700
283.16   3.711
283.46   3.721
283.77   3.732
284.07   3.743
284.38   3.753
284.68   3.763
284.99   3.774
285.29   3.784
285.60   3.794
285.90   3.804
286.21   3.814
286.51   3.824
286.82   3.835
287.12   3.845
287.43   3.855
287.73   3.866
288.04   3.876
288.34   3.887
288.65   3.897
288.95   3.908
289.26   3.918
289.56   3.929
289.86   3.939
290.17   3.950
290.47   3.960
290.78   3.971
291.08   3.982
291.39   3.992
291.69   4.003
292.00   4.014
292.30   4.025
292.61   4.036
292.91   4.047
293.22   4.058
293.52   4.069
293.83   4.080
294.13   4.091
294.44   4.103
294.74   4.115
295.05   4.127
295.35   4.139
295.66   4.151
295.96   4.163
296.27   4.176
296.57   4.188
296.88   4.200
297.18   4.213
297.48   4.225
297.79   4.237
298.09   4.250
298.40   4.263
298.70   4.277
299.01   4.291
299.31   4.305
299.62   4.320
299.92   4.336
300.23   4.352
300.53   4.368
300.84   4.385
301.14   4.402
301.45   4.420
301.75   4.440
302.06   4.459
302.36   4.480
302.67   4.501
302.97   4.522
303.28   4.543
303.58   4.564
303.89   4.585
304.19   4.605
305.10   4.664
305.41   4.684
305.71   4.703
306.02   4.722
306.32   4.741
306.63   4.759
306.93   4.777
307.24   4.794
307.54   4.812
307.85   4.829
308.15   4.846
308.46   4.863
308.76   4.880
309.07   4.897
309.37   4.914
309.68   4.931
309.98   4.948
310.29   4.965
310.59   4.982
310.90   4.999
311.20   5.015
311.51   5.031
311.81   5.048
312.12   5.064
312.42   5.079
312.72   5.095
313.03   5.111
313.33   5.126
313.64   5.141
313.94   5.156
314.25   5.171
314.55   5.186
314.86   5.201
315.16   5.215
315.47   5.229
315.77   5.244
316.08   5.258
316.38   5.271
316.69   5.284
316.99   5.298
317.30   5.311
317.60   5.324
317.91   5.337
318.21   5.351
318.52   5.364
318.82   5.378
319.13   5.392
319.43   5.405
319.74   5.420
320.04   5.434
320.34   5.448
320.65   5.463
320.95   5.478
321.26   5.493
321.56   5.508
321.87   5.524
322.17   5.540
322.48   5.555
322.78   5.571
323.09   5.588
323.39   5.604
323.70   5.619
324.00   5.635
324.31   5.651
324.61   5.667
324.92   5.683
325.22   5.699
325.53   5.715
325.83   5.731
326.14   5.747
326.44   5.762
326.75   5.778
327.05   5.794
327.36   5.810
327.66   5.826
327.96   5.842
328.27   5.857
328.57   5.873
328.88   5.889
329.18   5.905
329.49   5.920
329.79   5.936
330.10   5.952
330.40   5.967
330.71   5.983
331.01   5.999
331.32   6.015
331.62   6.031
331.93   6.047
332.23   6.063
332.54   6.078
332.84   6.093
333.15   6.108
333.45   6.122
333.76   6.136
334.06   6.149
334.37   6.162
334.67   6.175
334.98   6.187
335.28   6.199
335.89   6.220
336.19   6.230
336.50   6.239
336.80   6.248
337.11   6.257
337.41   6.265
337.72   6.273
338.02   6.282
338.33   6.290
338.63   6.299
338.94   6.308
339.24   6.317
339.55   6.326
339.85   6.335
340.16   6.344
340.46   6.353
340.77   6.362
341.07   6.371
341.38   6.381
341.68   6.390
341.99   6.400
342.29   6.409
342.60   6.419
342.90   6.428
343.20   6.438
343.51   6.447
343.81   6.456
344.12   6.466
344.42   6.475
344.73   6.485
345.03   6.494
345.34   6.504
345.64   6.513
345.95   6.523
346.25   6.533
346.56   6.543
346.86   6.553
347.17   6.563
347.47   6.573
347.78   6.584
348.08   6.595
348.39   6.606
348.69   6.618
349.00   6.629
349.30   6.641
349.61   6.653
349.91   6.666
350.22   6.679
350.52   6.692
350.82   6.705
351.13   6.719
351.43   6.733
351.74   6.747
352.04   6.761
352.35   6.776
352.65   6.790
352.96   6.804
353.26   6.819
353.57   6.833
353.87   6.847
354.18   6.862
354.48   6.876
354.79   6.891
355.09   6.905
355.40   6.920
355.70   6.934
356.01   6.949
356.31   6.964
356.62   6.978
356.92   6.993
357.23   7.008
357.53   7.022
357.84   7.037
358.14   7.052
358.44   7.066
358.75   7.081
359.05   7.096
359.36   7.110
359.66   7.125
359.97   7.139
360.27   7.154
360.58   7.168
360.88   7.182
361.19   7.196
361.49   7.210
361.80   7.225
362.10   7.239
362.41   7.253
362.71   7.267
363.02   7.281
363.32   7.295
363.63   7.310
363.93   7.324
364.24   7.338
364.54   7.352
364.85   7.366
365.15   7.380
365.46   7.394
365.76   7.407
366.67   7.449
366.98   7.463
367.28   7.477
367.59   7.492
367.89   7.506
368.20   7.521
368.50   7.536
368.81   7.550
369.11   7.565
369.42   7.581
369.72   7.596
370.03   7.612
370.33   7.629
370.64   7.645
370.94   7.662
371.25   7.679
371.55   7.695
371.86   7.712
372.16   7.729
372.47   7.745
372.77   7.762
373.08   7.778
373.38   7.794
373.68   7.810
373.99   7.826
374.29   7.842
374.60   7.858
374.90   7.874
375.21   7.889
375.51   7.905
375.82   7.920
376.12   7.935
376.43   7.951
376.73   7.966
377.04   7.982
377.34   7.998
377.65   8.014
377.95   8.030
378.26   8.046
378.56   8.063
378.87   8.080
379.17   8.096
379.48   8.114
379.78   8.131
380.09   8.149
380.39   8.166
380.70   8.184
381.00   8.202
381.30   8.220
381.61   8.238
381.91   8.256
382.22   8.274
382.52   8.292
382.83   8.310
383.13   8.327
383.44   8.345
383.74   8.363
384.05   8.380
384.35   8.398
384.66   8.415
384.96   8.432
385.27   8.449
385.57   8.466
385.88   8.483
386.18   8.501
386.49   8.518
386.79   8.536
387.10   8.554
387.40   8.573
387.71   8.592
388.01   8.611
388.32   8.630
388.62   8.649
388.92   8.669
389.23   8.689
389.53   8.709
389.84   8.729
390.14   8.749
390.45   8.769
390.75   8.790
391.06   8.811
391.36   8.832
391.67   8.853
391.97   8.875
392.28   8.896
392.58   8.918
392.89   8.940
393.19   8.962
393.50   8.984
393.80   9.006
394.11   9.029
394.41   9.053
394.72   9.077
395.02   9.101
395.33   9.125
395.63   9.149
396.85   9.240
397.15   9.260
397.46   9.280
397.76   9.300
398.07   9.319
398.37   9.338
398.68   9.357
398.98   9.376
399.29   9.396
399.59   9.416
399.90   9.436
400.20   9.455
400.51   9.475
400.81   9.494
401.12   9.512
401.42   9.530
401.73   9.547
402.03   9.564
402.34   9.580
402.64   9.595
402.95   9.610
403.25   9.625
403.56   9.640
403.86   9.654
404.16   9.667
404.47   9.681
404.77   9.694
405.08   9.707
405.38   9.719
405.69   9.732
405.99   9.744
406.30   9.756
406.60   9.768
406.91   9.781
407.21   9.793
407.52   9.805
407.82   9.817
408.13   9.830
408.43   9.842
408.74   9.854
409.04   9.867
409.35   9.879
409.65   9.892
409.96   9.904
410.26   9.917
410.57   9.930
410.87   9.943
411.18   9.955
411.48   9.968
411.78   9.981
412.09   9.993
412.39  10.006
412.70  10.019
413.00  10.032
413.31  10.045
413.61  10.058
413.92  10.072
414.22  10.086
414.53  10.100
414.83  10.114
415.14  10.128
415.44  10.142
415.75  10.156
416.05  10.170
416.36  10.184
416.66  10.198
416.97  10.211
417.27  10.224
417.58  10.238
417.88  10.251
418.19  10.264
418.49  10.277
418.80  10.289
419.10  10.301
419.40  10.313
419.71  10.324
420.01  10.336
420.32  10.348
420.62  10.359
420.93  10.371
421.23  10.383
421.54  10.395
421.84  10.408
422.15  10.420
422.45  10.433
422.76  10.446
423.06  10.459
423.37  10.472
423.67  10.486
423.98  10.500
424.28  10.515
424.59  10.529
424.89  10.543
425.20  10.557
425.50  10.571
425.81  10.585
426.11  10.598
426.42  10.611
426.72  10.623
427.63  10.658
427.94  10.669
428.24  10.680
428.55  10.689
428.85  10.699
429.16  10.707
429.46  10.716
429.77  10.725
430.07  10.733
430.38  10.742
430.68  10.751
430.99  10.760
431.29  10.769
431.60  10.779
431.90  10.789
432.21  10.799
432.51  10.810
432.82  10.820
433.12  10.831
433.43  10.842
433.73  10.853
434.04  10.865
434.34  10.876
434.64  10.888
434.95  10.900
435.25  10.912
435.56  10.924
435.86  10.936
436.17  10.947
436.47  10.959
436.78  10.971
437.08  10.983
437.39  10.995
437.69  11.007
438.00  11.020
438.30  11.032
438.61  11.045
438.91  11.058
439.22  11.071
439.52  11.084
439.83  11.097
440.13  11.111
440.44  11.124
440.74  11.137
441.05  11.150
441.35  11.163
441.66  11.177
441.96  11.190
442.26  11.203
442.57  11.216
442.87  11.230
443.18  11.243
443.48  11.256
443.79  11.269
444.09  11.282
444.40  11.295
444.70  11.308
445.01  11.321
445.31  11.334
445.62  11.347
445.92  11.360
446.23  11.373
446.53  11.386
446.84  11.400
447.14  11.413
447.45  11.426
447.75  11.439
448.06  11.452
448.36  11.465
448.67  11.478
448.97  11.491
449.28  11.504
449.58  11.517
449.88  11.530
450.19  11.543
450.49  11.556
450.80  11.570
451.10  11.583
451.41  11.596
451.71  11.609
452.02  11.622
452.32  11.636
452.63  11.649
452.93  11.663
453.24  11.676
453.54  11.690
453.85  11.703
454.15  11.717
454.46  11.730
454.76  11.744
455.07  11.758
455.37  11.771
455.68  11.784
455.98  11.798
456.29  11.811
456.59  11.824
456.90  11.838
457.81  11.877
458.11  11.890
458.42  11.902
458.72  11.915
459.03  11.928
459.33  11.941
459.64  11.953
459.94  11.966
460.25  11.979
460.55  11.992
460.86  12.005
461.16  12.019
461.47  12.032
461.77  12.045
462.08  12.059
462.38  12.072
462.69  12.086
462.99  12.100
463.30  12.114
463.60  12.128
463.91  12.142
464.21  12.156
464.52  12.170
464.82  12.184
465.12  12.197
465.43  12.211
465.73  12.224
466.04  12.237
466.34  12.251
466.65  12.263
466.95  12.276
467.26  12.289
467.56  12.301
467.87  12.314
468.17  12.326
468.48  12.338
468.78  12.350
469.09  12.362
469.39  12.374
469.70  12.385
470.00  12.398
470.31  12.410
470.61  12.422
470.92  12.434
471.22  12.446
471.53  12.459
471.83  12.471
472.14  12.483
472.44  12.495
472.74  12.508
473.05  12.520
473.35  12.532
473.66  12.544
473.96  12.557
474.27  12.569
474.57  12.581
474.88  12.594
475.18  12.606
475.49  12.618
475.79  12.631
476.10  12.643
476.40  12.656
476.71  12.668
477.01  12.681
477.32  12.694
477.62  12.707
477.93  12.720
478.23  12.733
478.54  12.746
478.84  12.759
479.15  12.772
479.45  12.785
479.76  12.797
480.06  12.810
480.36  12.823
480.67  12.835
480.97  12.848
481.28  12.860
481.58  12.872
481.89  12.885
482.19  12.896
482.50  12.908
482.80  12.920
483.11  12.931
483.41  12.943
483.72  12.954
484.02  12.966
484.33  12.978
484.63  12.989
484.94  13.001
485.24  13.013
485.55  13.025
485.85  13.037
486.16  13.049
486.46  13.061
486.77  13.073
487.07  13.085
487.38  13.098
487.68  13.111
488.29  13.136
488.59  13.149
488.90  13.161
489.20  13.174
489.51  13.186
489.81  13.198
490.12  13.210
490.42  13.222
490.73  13.233
491.03  13.245
491.34  13.256
491.64  13.267
491.95  13.277
492.25  13.287
492.56  13.297
492.86  13.307
493.17  13.317
493.47  13.327
493.78  13.337
494.08  13.347
494.39  13.357
494.69  13.368
495.00  13.379
495.30  13.390
495.60  13.401
495.91  13.413
496.21  13.425
496.52  13.437
496.82  13.449
497.13  13.462
497.43  13.476
497.74  13.489
498.04  13.502
498.35  13.516
498.65  13.529
498.96  13.542
499.26  13.554
499.57  13.567
499.87  13.579
500.48  13.602
500.79  13.614
501.09  13.625
501.40  13.636
501.70  13.647
502.01  13.657
502.31  13.667
502.62  13.677
502.92  13.687
503.22  13.697
503.53  13.707
503.83  13.718
