  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   East Teshekpuk Test Well #1 
136.65  -5.192
136.86  -5.181
137.06  -5.169
137.26  -5.158
137.46  -5.147
137.67  -5.136
137.87  -5.124
138.07  -5.113
138.28  -5.102
138.48  -5.090
138.68  -5.079
138.89  -5.068
139.09  -5.057
139.29  -5.046
139.50  -5.034
139.70  -5.023
139.90  -5.012
140.11  -5.001
140.31  -4.990
140.51  -4.979
140.72  -4.968
140.92  -4.957
144.17  -4.780
144.37  -4.769
144.58  -4.758
144.78  -4.747
144.98  -4.736
145.19  -4.725
145.39  -4.715
145.59  -4.704
145.80  -4.693
146.00  -4.682
146.20  -4.671
146.41  -4.661
146.61  -4.650
146.81  -4.639
147.02  -4.629
150.27  -4.463
150.47  -4.453
150.67  -4.443
150.88  -4.433
151.08  -4.423
151.28  -4.413
151.49  -4.403
151.69  -4.393
151.89  -4.383
152.10  -4.373
152.30  -4.363
152.50  -4.353
152.70  -4.343
152.91  -4.333
153.11  -4.324
153.31  -4.314
153.52  -4.304
153.72  -4.294
153.92  -4.285
154.13  -4.275
154.33  -4.265
154.53  -4.256
154.74  -4.246
154.94  -4.236
155.14  -4.227
155.35  -4.217
155.55  -4.208
155.75  -4.198
155.96  -4.189
156.16  -4.180
159.41  -4.029
159.61  -4.019
159.82  -4.010
160.02  -4.000
160.22  -3.991
160.43  -3.981
160.63  -3.972
160.83  -3.963
161.04  -3.953
161.24  -3.944
161.44  -3.934
161.65  -3.925
161.85  -3.916
162.05  -3.906
162.26  -3.897
162.46  -3.887
162.66  -3.878
162.86  -3.868
163.07  -3.858
163.27  -3.849
163.47  -3.839
163.68  -3.830
163.88  -3.820
164.08  -3.810
164.29  -3.801
164.49  -3.791
164.69  -3.781
164.90  -3.771
165.10  -3.762
165.30  -3.752
165.51  -3.742
165.71  -3.732
165.91  -3.722
166.12  -3.712
166.32  -3.702
166.52  -3.692
166.73  -3.682
166.93  -3.672
167.13  -3.661
167.34  -3.651
167.54  -3.640
167.74  -3.629
167.94  -3.618
168.15  -3.607
168.35  -3.596
168.55  -3.585
168.76  -3.574
168.96  -3.563
169.16  -3.552
169.37  -3.541
169.57  -3.530
169.77  -3.519
169.98  -3.508
170.18  -3.497
170.38  -3.487
170.59  -3.476
170.79  -3.466
170.99  -3.455
171.20  -3.445
171.40  -3.435
171.60  -3.425
171.81  -3.415
172.01  -3.404
172.21  -3.394
172.42  -3.384
172.62  -3.373
172.82  -3.363
176.07  -3.181
176.28  -3.171
176.48  -3.163
176.68  -3.154
176.89  -3.146
177.09  -3.139
177.29  -3.131
177.50  -3.124
177.70  -3.117
177.90  -3.109
178.10  -3.102
178.31  -3.094
178.51  -3.086
178.71  -3.077
178.92  -3.069
179.12  -3.060
179.32  -3.051
179.53  -3.041
179.73  -3.031
179.93  -3.020
180.14  -3.009
180.34  -2.998
180.54  -2.988
180.75  -2.977
180.95  -2.966
181.15  -2.956
181.36  -2.946
181.56  -2.936
181.76  -2.926
181.97  -2.916
182.17  -2.906
182.37  -2.897
182.58  -2.888
182.78  -2.879
182.98  -2.870
183.18  -2.861
183.39  -2.852
183.59  -2.844
183.79  -2.835
184.00  -2.826
184.20  -2.818
184.40  -2.809
184.61  -2.800
184.81  -2.791
185.01  -2.783
185.22  -2.774
185.42  -2.766
185.62  -2.758
185.83  -2.749
186.03  -2.741
186.23  -2.733
186.44  -2.725
186.64  -2.717
186.84  -2.709
187.05  -2.701
187.25  -2.693
187.45  -2.685
187.66  -2.677
187.86  -2.669
188.06  -2.661
188.26  -2.654
188.47  -2.646
188.67  -2.638
188.87  -2.630
189.08  -2.622
189.28  -2.614
189.48  -2.606
189.69  -2.598
189.89  -2.590
190.09  -2.582
190.30  -2.574
190.50  -2.566
190.70  -2.558
190.91  -2.550
191.11  -2.541
191.31  -2.533
191.52  -2.524
191.72  -2.515
191.92  -2.507
192.13  -2.497
192.33  -2.488
192.53  -2.479
192.74  -2.470
192.94  -2.461
193.14  -2.452
193.34  -2.442
193.55  -2.433
193.75  -2.424
193.95  -2.415
194.16  -2.406
194.36  -2.397
194.56  -2.388
194.77  -2.380
194.97  -2.371
195.17  -2.362
195.38  -2.354
195.58  -2.345
195.78  -2.336
195.99  -2.328
196.19  -2.319
196.39  -2.311
196.60  -2.302
196.80  -2.293
197.00  -2.285
197.21  -2.276
197.41  -2.267
197.61  -2.259
197.82  -2.250
198.02  -2.241
198.22  -2.233
198.42  -2.224
198.63  -2.216
198.83  -2.207
199.03  -2.199
199.24  -2.190
199.44  -2.182
199.64  -2.174
199.85  -2.166
200.05  -2.157
200.25  -2.149
200.46  -2.141
200.66  -2.133
200.86  -2.125
201.07  -2.116
201.27  -2.108
201.47  -2.100
201.68  -2.092
201.88  -2.084
202.08  -2.076
202.29  -2.068
202.49  -2.060
202.69  -2.052
202.90  -2.045
203.10  -2.037
203.30  -2.030
203.50  -2.023
203.71  -2.016
203.91  -2.009
204.11  -2.003
204.32  -1.996
204.52  -1.990
204.72  -1.984
204.93  -1.978
205.13  -1.972
205.33  -1.966
205.54  -1.960
205.74  -1.954
205.94  -1.947
206.15  -1.941
206.35  -1.934
206.55  -1.927
206.76  -1.920
206.96  -1.912
207.16  -1.905
207.37  -1.897
207.57  -1.888
207.77  -1.880
207.98  -1.871
208.18  -1.861
208.38  -1.851
208.58  -1.840
208.79  -1.830
208.99  -1.818
209.19  -1.807
209.40  -1.796
209.60  -1.786
209.80  -1.778
210.01  -1.770
210.21  -1.763
210.41  -1.756
210.62  -1.749
210.82  -1.743
211.02  -1.737
211.23  -1.730
211.43  -1.723
211.63  -1.716
211.84  -1.708
212.04  -1.698
212.24  -1.686
212.45  -1.672
212.65  -1.659
212.85  -1.648
213.06  -1.642
213.26  -1.638
