  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   J.W. Dalton Test Well #1 
135.94  -8.317
136.25  -8.307
136.55  -8.298
136.86  -8.288
137.16  -8.279
137.46  -8.269
137.77  -8.260
138.07  -8.250
138.38  -8.241
138.68  -8.231
138.99  -8.222
139.29  -8.213
139.60  -8.204
139.90  -8.196
140.21  -8.187
140.51  -8.179
140.82  -8.171
141.12  -8.163
141.43  -8.156
141.73  -8.148
142.04  -8.140
142.34  -8.132
142.65  -8.124
142.95  -8.116
143.26  -8.108
143.56  -8.100
143.87  -8.092
144.17  -8.084
144.48  -8.077
144.78  -8.069
145.08  -8.061
145.39  -8.053
145.69  -8.045
146.00  -8.037
146.30  -8.029
146.61  -8.021
146.91  -8.013
147.22  -8.004
147.52  -7.996
147.83  -7.988
148.13  -7.980
148.44  -7.972
148.74  -7.964
149.05  -7.956
149.35  -7.948
149.66  -7.940
149.96  -7.932
150.27  -7.924
150.57  -7.916
150.88  -7.908
151.18  -7.900
151.49  -7.892
151.79  -7.884
152.10  -7.876
152.40  -7.868
152.70  -7.860
153.01  -7.852
153.31  -7.844
153.62  -7.836
153.92  -7.828
154.23  -7.820
154.53  -7.812
154.84  -7.804
155.14  -7.796
155.45  -7.788
155.75  -7.780
156.06  -7.772
156.36  -7.765
156.67  -7.757
156.97  -7.749
157.28  -7.741
157.58  -7.733
157.89  -7.725
158.19  -7.718
158.50  -7.710
158.80  -7.702
159.11  -7.695
159.41  -7.687
159.72  -7.680
160.02  -7.672
160.32  -7.665
160.63  -7.657
160.93  -7.650
161.24  -7.642
161.54  -7.635
161.85  -7.627
162.15  -7.620
162.46  -7.612
162.76  -7.605
163.07  -7.597
163.37  -7.590
163.68  -7.582
163.98  -7.575
164.29  -7.567
164.59  -7.560
164.90  -7.552
165.20  -7.545
165.51  -7.537
165.81  -7.529
166.12  -7.522
166.42  -7.514
166.73  -7.507
167.03  -7.499
167.34  -7.492
167.64  -7.484
167.94  -7.477
168.25  -7.469
168.55  -7.462
168.86  -7.454
169.16  -7.446
169.47  -7.439
169.77  -7.431
170.08  -7.424
170.38  -7.416
170.69  -7.409
170.99  -7.401
171.30  -7.394
171.60  -7.386
171.91  -7.379
172.21  -7.371
172.52  -7.364
172.82  -7.356
173.13  -7.349
173.43  -7.341
173.74  -7.334
174.04  -7.327
174.35  -7.319
174.65  -7.312
174.96  -7.304
175.26  -7.297
175.56  -7.290
175.87  -7.282
176.17  -7.275
176.48  -7.268
176.78  -7.260
177.09  -7.253
177.39  -7.246
177.70  -7.238
178.00  -7.231
178.31  -7.224
178.61  -7.217
178.92  -7.209
179.22  -7.202
179.53  -7.195
179.83  -7.188
180.14  -7.181
180.44  -7.174
180.75  -7.167
181.05  -7.160
181.36  -7.153
181.66  -7.146
181.97  -7.140
182.27  -7.133
182.58  -7.127
182.88  -7.120
183.18  -7.114
183.49  -7.108
183.79  -7.102
184.10  -7.096
184.40  -7.090
184.71  -7.084
185.01  -7.078
185.32  -7.072
185.62  -7.066
185.93  -7.060
186.23  -7.054
186.54  -7.048
186.84  -7.042
187.15  -7.036
187.45  -7.030
187.76  -7.024
188.06  -7.018
188.37  -7.012
188.67  -7.005
188.98  -6.999
189.28  -6.992
189.59  -6.986
189.89  -6.979
190.20  -6.972
190.50  -6.966
190.80  -6.959
191.11  -6.953
191.41  -6.946
191.72  -6.940
192.02  -6.933
192.33  -6.927
192.63  -6.920
192.94  -6.914
193.24  -6.908
193.55  -6.901
193.85  -6.895
194.16  -6.889
194.46  -6.883
194.77  -6.877
195.07  -6.871
195.38  -6.866
195.68  -6.860
195.99  -6.855
196.29  -6.849
196.60  -6.844
196.90  -6.838
197.21  -6.832
197.51  -6.827
197.82  -6.821
198.12  -6.816
198.42  -6.810
198.73  -6.805
199.03  -6.799
199.34  -6.793
199.64  -6.788
199.95  -6.782
200.25  -6.776
200.56  -6.770
200.86  -6.764
201.17  -6.758
201.47  -6.752
201.78  -6.745
202.08  -6.739
202.39  -6.732
202.69  -6.726
203.00  -6.720
203.30  -6.713
203.61  -6.707
203.91  -6.701
204.22  -6.695
204.52  -6.689
204.83  -6.683
205.13  -6.677
205.44  -6.671
205.74  -6.665
206.04  -6.659
206.35  -6.654
206.65  -6.648
206.96  -6.643
207.26  -6.638
207.57  -6.632
207.87  -6.628
208.18  -6.623
208.48  -6.618
208.79  -6.613
209.09  -6.608
209.40  -6.604
209.70  -6.599
210.01  -6.594
210.31  -6.589
210.62  -6.585
210.92  -6.580
211.23  -6.575
211.53  -6.570
211.84  -6.566
212.14  -6.561
212.45  -6.556
212.75  -6.552
213.06  -6.547
213.36  -6.542
213.66  -6.538
213.97  -6.533
214.27  -6.528
214.58  -6.524
214.88  -6.519
215.19  -6.514
215.49  -6.509
215.80  -6.505
216.10  -6.500
216.41  -6.495
216.71  -6.491
217.02  -6.486
217.32  -6.481
217.63  -6.477
217.93  -6.472
218.24  -6.467
218.54  -6.463
218.85  -6.458
219.15  -6.453
219.46  -6.448
219.76  -6.443
220.07  -6.438
220.37  -6.433
220.68  -6.428
220.98  -6.423
221.28  -6.418
221.59  -6.413
221.89  -6.408
222.20  -6.403
222.50  -6.398
222.81  -6.393
223.11  -6.388
223.42  -6.383
223.72  -6.378
224.03  -6.373
224.33  -6.367
224.64  -6.362
224.94  -6.357
225.25  -6.352
225.55  -6.347
225.86  -6.341
226.16  -6.336
226.47  -6.331
226.77  -6.326
227.08  -6.320
227.38  -6.315
227.69  -6.310
227.99  -6.304
228.30  -6.299
228.60  -6.294
228.90  -6.288
229.21  -6.283
229.51  -6.277
229.82  -6.272
230.12  -6.267
230.43  -6.261
230.73  -6.256
231.04  -6.250
231.34  -6.245
231.65  -6.239
231.95  -6.234
232.26  -6.228
232.56  -6.223
232.87  -6.217
233.17  -6.212
233.48  -6.206
233.78  -6.200
234.09  -6.195
234.39  -6.189
234.70  -6.184
235.00  -6.178
235.31  -6.172
235.61  -6.167
235.92  -6.161
236.22  -6.155
236.52  -6.150
236.83  -6.144
237.13  -6.138
237.44  -6.133
237.74  -6.127
238.05  -6.121
238.35  -6.116
238.66  -6.110
238.96  -6.104
239.27  -6.098
239.57  -6.093
239.88  -6.087
240.18  -6.081
240.49  -6.075
240.79  -6.069
241.10  -6.064
241.40  -6.058
241.71  -6.052
242.01  -6.046
242.32  -6.040
242.62  -6.034
242.93  -6.028
243.23  -6.022
243.54  -6.016
243.84  -6.010
244.14  -6.004
244.45  -5.998
244.75  -5.992
245.06  -5.985
245.36  -5.979
245.67  -5.973
245.97  -5.967
246.28  -5.961
246.58  -5.954
246.89  -5.948
247.19  -5.942
247.50  -5.936
247.80  -5.929
248.11  -5.923
248.41  -5.917
248.72  -5.910
249.02  -5.904
249.33  -5.897
249.63  -5.891
249.94  -5.884
250.24  -5.878
250.55  -5.871
250.85  -5.864
251.16  -5.858
251.46  -5.851
251.76  -5.844
252.07  -5.838
252.37  -5.831
252.68  -5.824
252.98  -5.817
253.29  -5.810
253.59  -5.803
253.90  -5.796
254.20  -5.789
254.51  -5.782
254.81  -5.775
255.12  -5.768
255.42  -5.761
255.73  -5.755
256.03  -5.748
256.34  -5.741
256.64  -5.734
256.95  -5.728
257.25  -5.721
257.56  -5.714
257.86  -5.707
258.17  -5.700
258.47  -5.693
258.78  -5.686
259.08  -5.679
259.38  -5.672
259.69  -5.665
259.99  -5.658
260.30  -5.651
260.60  -5.643
260.91  -5.636
261.21  -5.628
261.52  -5.619
261.82  -5.611
262.13  -5.602
262.43  -5.593
262.74  -5.583
263.04  -5.574
263.35  -5.564
263.65  -5.555
263.96  -5.545
264.26  -5.536
264.57  -5.527
264.87  -5.518
265.18  -5.508
265.48  -5.499
265.79  -5.490
266.09  -5.481
266.40  -5.472
266.70  -5.463
267.00  -5.454
267.31  -5.446
267.61  -5.438
267.92  -5.431
268.22  -5.423
268.53  -5.417
268.83  -5.411
269.14  -5.404
269.44  -5.398
269.75  -5.392
270.05  -5.386
270.36  -5.379
270.66  -5.373
270.97  -5.366
271.27  -5.359
271.58  -5.352
271.88  -5.345
272.19  -5.338
272.49  -5.331
272.80  -5.324
273.10  -5.317
273.41  -5.309
273.71  -5.301
274.02  -5.293
274.32  -5.285
274.62  -5.277
274.93  -5.268
275.23  -5.259
275.54  -5.250
275.84  -5.241
276.15  -5.231
276.45  -5.222
276.76  -5.213
277.06  -5.204
277.37  -5.194
277.67  -5.185
277.98  -5.176
278.28  -5.166
278.59  -5.156
278.89  -5.147
279.20  -5.137
279.50  -5.126
279.81  -5.116
280.11  -5.105
280.42  -5.094
280.72  -5.083
281.03  -5.072
281.33  -5.061
281.64  -5.049
281.94  -5.038
282.24  -5.027
282.55  -5.015
282.85  -5.004
283.16  -4.992
283.46  -4.981
283.77  -4.969
284.07  -4.958
284.38  -4.946
284.68  -4.934
284.99  -4.923
285.29  -4.911
285.60  -4.900
285.90  -4.888
286.21  -4.877
286.51  -4.865
286.82  -4.854
287.12  -4.843
287.43  -4.831
287.73  -4.820
288.04  -4.809
288.34  -4.798
288.65  -4.787
288.95  -4.776
289.26  -4.764
289.56  -4.753
289.86  -4.742
290.17  -4.731
290.47  -4.719
290.78  -4.708
291.08  -4.697
291.39  -4.687
291.69  -4.676
292.00  -4.666
292.30  -4.656
292.61  -4.646
292.91  -4.636
293.22  -4.626
293.52  -4.617
293.83  -4.607
294.13  -4.598
294.44  -4.588
294.74  -4.578
295.05  -4.568
295.35  -4.559
295.66  -4.549
295.96  -4.539
296.27  -4.529
296.57  -4.519
296.88  -4.510
297.18  -4.499
297.48  -4.489
297.79  -4.479
298.09  -4.468
298.40  -4.457
298.70  -4.445
299.01  -4.434
299.31  -4.422
299.62  -4.410
299.92  -4.398
300.23  -4.386
300.53  -4.374
300.84  -4.362
301.14  -4.350
301.45  -4.338
301.75  -4.326
302.06  -4.314
302.36  -4.302
302.67  -4.290
302.97  -4.278
303.28  -4.266
303.58  -4.254
303.89  -4.242
304.19  -4.230
304.50  -4.218
304.80  -4.207
305.10  -4.195
305.41  -4.183
305.71  -4.172
306.02  -4.160
306.32  -4.148
306.63  -4.137
306.93  -4.125
307.24  -4.113
307.54  -4.102
307.85  -4.090
308.15  -4.078
308.46  -4.066
308.76  -4.054
309.07  -4.042
309.37  -4.030
309.68  -4.019
309.98  -4.007
310.29  -3.996
310.59  -3.985
310.90  -3.974
311.20  -3.963
311.51  -3.952
311.81  -3.941
312.12  -3.930
312.42  -3.919
312.72  -3.908
313.03  -3.897
313.33  -3.886
313.64  -3.875
313.94  -3.864
314.25  -3.853
314.55  -3.842
314.86  -3.831
315.16  -3.820
315.47  -3.809
315.77  -3.797
316.08  -3.786
316.38  -3.773
316.69  -3.761
316.99  -3.748
317.30  -3.735
317.60  -3.722
317.91  -3.708
318.21  -3.695
318.52  -3.682
318.82  -3.669
319.13  -3.655
319.43  -3.642
319.74  -3.629
320.04  -3.616
320.34  -3.604
320.65  -3.591
320.95  -3.578
321.26  -3.565
321.56  -3.553
321.87  -3.540
322.17  -3.528
322.48  -3.517
322.78  -3.505
323.09  -3.494
323.39  -3.483
323.70  -3.473
324.00  -3.463
324.31  -3.453
324.61  -3.443
324.92  -3.432
325.22  -3.422
325.53  -3.412
325.83  -3.401
326.14  -3.391
326.44  -3.381
326.75  -3.370
327.05  -3.360
327.36  -3.350
327.66  -3.339
327.96  -3.329
328.27  -3.318
328.57  -3.308
328.88  -3.297
329.18  -3.286
329.49  -3.275
329.79  -3.263
330.10  -3.252
330.40  -3.241
330.71  -3.229
331.01  -3.218
331.32  -3.207
331.62  -3.196
331.93  -3.184
332.23  -3.173
332.54  -3.162
332.84  -3.150
333.15  -3.139
333.45  -3.128
333.76  -3.116
334.06  -3.105
334.37  -3.094
334.67  -3.082
334.98  -3.071
335.28  -3.060
335.58  -3.049
335.89  -3.038
336.19  -3.027
336.50  -3.016
336.80  -3.004
337.11  -2.993
337.41  -2.981
337.72  -2.970
338.02  -2.958
338.33  -2.947
338.63  -2.935
338.94  -2.923
339.24  -2.912
339.55  -2.900
339.85  -2.888
340.16  -2.875
340.46  -2.863
340.77  -2.850
341.07  -2.836
341.38  -2.823
341.68  -2.809
341.99  -2.795
342.29  -2.781
342.60  -2.767
342.90  -2.753
343.20  -2.739
343.51  -2.724
343.81  -2.710
344.12  -2.696
344.42  -2.682
344.73  -2.668
345.03  -2.654
345.34  -2.640
345.64  -2.625
345.95  -2.611
346.25  -2.598
346.56  -2.584
346.86  -2.571
347.17  -2.558
347.47  -2.546
347.78  -2.533
348.08  -2.521
348.39  -2.510
348.69  -2.498
349.00  -2.486
349.30  -2.473
349.61  -2.461
349.91  -2.449
350.22  -2.437
350.52  -2.424
350.82  -2.412
351.13  -2.399
351.43  -2.387
351.74  -2.374
352.04  -2.361
352.35  -2.348
352.65  -2.335
352.96  -2.322
353.26  -2.308
353.57  -2.294
353.87  -2.280
354.18  -2.265
354.48  -2.250
354.79  -2.236
355.09  -2.221
355.40  -2.206
355.70  -2.192
356.01  -2.177
356.31  -2.162
356.62  -2.148
356.92  -2.133
357.23  -2.119
357.53  -2.104
357.84  -2.089
358.14  -2.075
358.44  -2.060
358.75  -2.046
360.58  -1.960
360.88  -1.946
361.19  -1.932
361.49  -1.918
361.80  -1.903
362.10  -1.889
362.41  -1.875
362.71  -1.860
363.02  -1.846
363.32  -1.831
363.63  -1.817
363.93  -1.802
364.24  -1.788
364.54  -1.773
364.85  -1.759
365.15  -1.744
365.46  -1.730
365.76  -1.716
366.06  -1.701
366.37  -1.687
366.67  -1.672
366.98  -1.658
367.28  -1.644
367.59  -1.629
367.89  -1.614
368.20  -1.600
368.50  -1.585
368.81  -1.571
369.11  -1.556
369.42  -1.541
369.72  -1.527
370.03  -1.512
370.33  -1.497
370.64  -1.482
370.94  -1.467
371.25  -1.452
371.55  -1.437
371.86  -1.422
372.16  -1.406
372.47  -1.391
372.77  -1.375
373.08  -1.360
373.38  -1.344
373.68  -1.328
373.99  -1.313
374.29  -1.297
374.60  -1.282
374.90  -1.266
375.21  -1.251
375.51  -1.235
375.82  -1.220
376.12  -1.204
376.43  -1.189
376.73  -1.173
377.04  -1.158
377.34  -1.142
377.65  -1.127
377.95  -1.111
378.26  -1.096
378.56  -1.080
378.87  -1.065
379.17  -1.049
379.48  -1.034
379.78  -1.019
380.09  -1.004
380.39  -0.988
380.70  -0.973
381.00  -0.958
381.30  -0.943
381.61  -0.927
381.91  -0.912
382.22  -0.897
382.52  -0.882
382.83  -0.867
383.13  -0.853
383.44  -0.838
383.74  -0.824
384.05  -0.810
384.35  -0.796
384.66  -0.782
384.96  -0.768
385.27  -0.755
385.57  -0.741
385.88  -0.727
386.18  -0.713
386.49  -0.699
386.79  -0.685
387.10  -0.671
387.40  -0.657
387.71  -0.643
388.01  -0.629
388.32  -0.615
388.62  -0.601
388.92  -0.587
389.23  -0.572
389.53  -0.558
389.84  -0.544
390.14  -0.530
390.45  -0.515
390.75  -0.501
391.06  -0.487
391.36  -0.472
391.67  -0.457
391.97  -0.442
392.28  -0.428
394.11  -0.339
394.41  -0.324
394.72  -0.308
395.02  -0.293
395.33  -0.277
395.63  -0.260
395.94  -0.243
396.24  -0.226
396.54  -0.209
396.85  -0.191
397.15  -0.173
397.46  -0.155
397.76  -0.137
398.07  -0.119
398.37  -0.102
398.68  -0.084
398.98  -0.067
399.29  -0.049
399.59  -0.032
399.90  -0.014
400.20   0.003
400.51   0.020
400.81   0.037
401.12   0.054
401.42   0.070
401.73   0.085
402.03   0.100
402.34   0.115
402.64   0.129
402.95   0.143
403.25   0.156
403.56   0.169
403.86   0.183
404.16   0.196
404.47   0.209
404.77   0.223
405.08   0.236
405.38   0.250
405.69   0.263
405.99   0.277
406.30   0.290
406.60   0.303
406.91   0.317
407.21   0.330
407.52   0.344
407.82   0.357
408.13   0.371
408.43   0.385
408.74   0.399
409.04   0.413
409.35   0.427
409.65   0.441
409.96   0.456
410.26   0.470
410.57   0.484
410.87   0.498
411.18   0.512
411.48   0.525
411.78   0.539
412.09   0.553
412.39   0.567
412.70   0.580
413.00   0.594
413.31   0.608
413.61   0.622
413.92   0.636
414.22   0.650
414.53   0.664
414.83   0.678
415.14   0.692
415.44   0.706
415.75   0.720
416.05   0.734
416.36   0.748
416.66   0.762
416.97   0.776
417.27   0.790
417.58   0.804
417.88   0.818
418.19   0.832
418.49   0.846
418.80   0.860
419.10   0.874
419.40   0.887
419.71   0.901
420.01   0.915
420.32   0.929
420.62   0.942
420.93   0.956
421.23   0.970
421.54   0.983
421.84   0.997
422.15   1.010
422.45   1.024
422.76   1.037
423.06   1.050
423.37   1.064
423.67   1.077
423.98   1.091
424.28   1.104
424.59   1.117
424.89   1.131
425.20   1.144
425.50   1.157
425.81   1.170
426.11   1.183
426.42   1.195
426.72   1.208
427.02   1.221
427.33   1.233
427.63   1.246
427.94   1.258
428.24   1.271
428.55   1.283
428.85   1.296
430.68   1.370
430.99   1.383
431.29   1.395
431.60   1.407
431.90   1.420
432.21   1.433
432.51   1.445
432.82   1.458
433.12   1.471
433.43   1.484
433.73   1.497
434.04   1.510
434.34   1.523
434.64   1.535
434.95   1.548
435.25   1.561
435.56   1.574
435.86   1.586
436.17   1.599
436.47   1.612
436.78   1.624
437.08   1.637
437.39   1.650
437.69   1.662
438.00   1.674
438.30   1.687
438.61   1.699
438.91   1.711
439.22   1.723
439.52   1.735
439.83   1.747
440.13   1.758
440.44   1.770
440.74   1.782
441.05   1.794
441.35   1.805
441.66   1.817
441.96   1.829
442.26   1.841
442.57   1.852
442.87   1.864
443.18   1.876
443.48   1.888
443.79   1.899
444.09   1.911
444.40   1.923
444.70   1.935
445.01   1.946
445.31   1.958
445.62   1.970
445.92   1.982
446.23   1.994
446.53   2.006
446.84   2.018
447.14   2.030
447.45   2.041
447.75   2.053
448.06   2.065
448.36   2.077
448.67   2.088
448.97   2.100
449.28   2.111
449.58   2.123
449.88   2.134
450.19   2.146
450.49   2.157
450.80   2.168
451.10   2.180
451.41   2.191
451.71   2.202
452.02   2.213
452.32   2.223
452.63   2.234
452.93   2.245
453.24   2.256
453.54   2.267
453.85   2.278
454.15   2.289
454.46   2.300
454.76   2.311
455.07   2.321
455.37   2.332
455.68   2.343
455.98   2.354
456.29   2.365
456.59   2.376
456.90   2.387
457.20   2.398
457.50   2.409
457.81   2.420
458.11   2.431
458.42   2.442
458.72   2.453
459.03   2.464
459.33   2.474
459.64   2.485
459.94   2.496
460.25   2.507
460.55   2.518
460.86   2.529
461.16   2.540
461.47   2.550
461.77   2.560
