  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
  File name:   SOH_84AUG08_c_d 
  Log date:    08-AUG-1984 
  
Contact Information: 
118.57  -8.014
118.87  -8.006
119.18  -7.998
119.48  -7.990
119.79  -7.982
120.09  -7.974
120.40  -7.967
120.70  -7.959
121.01  -7.951
121.31  -7.943
121.62  -7.935
121.92  -7.927
122.22  -7.920
122.53  -7.912
122.83  -7.904
123.14  -7.897
123.44  -7.889
123.75  -7.881
124.05  -7.874
124.36  -7.866
124.66  -7.859
124.97  -7.851
125.27  -7.844
125.58  -7.836
125.88  -7.828
126.19  -7.821
126.49  -7.813
126.80  -7.806
127.10  -7.798
127.41  -7.791
127.71  -7.783
128.02  -7.775
128.32  -7.767
128.63  -7.760
128.93  -7.752
129.24  -7.744
129.54  -7.736
129.84  -7.728
130.15  -7.719
130.45  -7.711
130.76  -7.703
131.06  -7.694
131.37  -7.686
131.67  -7.678
131.98  -7.670
132.28  -7.662
132.59  -7.653
132.89  -7.645
133.20  -7.637
133.50  -7.629
133.81  -7.620
134.11  -7.612
134.42  -7.604
134.72  -7.596
135.03  -7.588
135.33  -7.580
135.64  -7.572
135.94  -7.565
136.25  -7.557
136.55  -7.550
136.86  -7.542
137.16  -7.534
137.46  -7.527
137.77  -7.519
138.07  -7.511
138.38  -7.503
138.68  -7.496
138.99  -7.488
139.29  -7.480
139.60  -7.472
139.90  -7.464
140.21  -7.456
140.51  -7.447
140.82  -7.439
141.12  -7.431
141.43  -7.422
141.73  -7.414
142.04  -7.405
142.34  -7.397
142.65  -7.388
142.95  -7.379
143.26  -7.370
143.56  -7.361
143.87  -7.352
144.17  -7.344
144.48  -7.335
144.78  -7.326
145.08  -7.317
145.39  -7.307
145.69  -7.298
146.00  -7.289
146.30  -7.280
146.61  -7.270
146.91  -7.261
147.22  -7.251
147.52  -7.242
147.83  -7.232
148.13  -7.222
148.44  -7.212
148.74  -7.202
149.05  -7.192
149.35  -7.182
149.66  -7.172
149.96  -7.162
150.27  -7.152
150.57  -7.141
150.88  -7.131
151.18  -7.121
151.49  -7.111
151.79  -7.100
152.10  -7.090
152.40  -7.080
152.70  -7.069
153.01  -7.059
153.31  -7.049
153.62  -7.039
153.92  -7.029
154.23  -7.018
154.53  -7.008
154.84  -6.998
155.14  -6.988
155.45  -6.978
155.75  -6.968
156.06  -6.958
156.36  -6.947
156.67  -6.937
156.97  -6.927
157.28  -6.916
157.58  -6.906
157.89  -6.896
158.19  -6.885
158.50  -6.875
158.80  -6.864
159.11  -6.854
160.93  -6.792
161.24  -6.782
161.54  -6.771
161.85  -6.761
162.15  -6.750
162.46  -6.740
162.76  -6.729
163.07  -6.719
163.37  -6.708
163.68  -6.698
163.98  -6.687
164.29  -6.677
164.59  -6.666
164.90  -6.655
165.20  -6.644
165.51  -6.633
165.81  -6.621
166.12  -6.610
166.42  -6.598
166.73  -6.586
167.03  -6.575
167.34  -6.563
167.64  -6.551
167.94  -6.539
168.25  -6.528
168.55  -6.516
168.86  -6.504
169.16  -6.493
169.47  -6.481
169.77  -6.470
170.08  -6.458
170.38  -6.446
170.69  -6.435
170.99  -6.424
171.30  -6.413
171.60  -6.402
171.91  -6.392
172.21  -6.382
172.52  -6.372
172.82  -6.362
173.13  -6.353
173.43  -6.343
173.74  -6.334
174.04  -6.324
174.35  -6.314
174.65  -6.305
174.96  -6.295
175.26  -6.286
175.56  -6.276
175.87  -6.266
176.17  -6.257
176.48  -6.247
176.78  -6.238
177.09  -6.228
177.39  -6.218
177.70  -6.208
178.00  -6.197
178.31  -6.187
178.61  -6.176
178.92  -6.165
179.22  -6.154
179.53  -6.144
179.83  -6.133
180.14  -6.122
180.44  -6.112
180.75  -6.101
181.05  -6.091
181.36  -6.080
181.66  -6.070
181.97  -6.059
182.27  -6.049
182.58  -6.039
182.88  -6.029
183.18  -6.019
183.49  -6.009
183.79  -5.999
184.10  -5.990
184.40  -5.981
184.71  -5.972
185.01  -5.963
185.32  -5.954
185.62  -5.946
185.93  -5.937
186.23  -5.928
186.54  -5.919
186.84  -5.911
187.15  -5.902
187.45  -5.893
187.76  -5.884
188.06  -5.875
188.37  -5.867
188.67  -5.858
188.98  -5.849
189.28  -5.840
189.59  -5.831
189.89  -5.822
190.20  -5.813
190.50  -5.804
190.80  -5.795
191.11  -5.786
191.41  -5.777
191.72  -5.767
192.02  -5.758
192.33  -5.749
192.63  -5.740
192.94  -5.730
193.24  -5.721
193.55  -5.712
193.85  -5.703
194.16  -5.693
194.46  -5.684
194.77  -5.675
195.07  -5.666
195.38  -5.656
195.68  -5.647
195.99  -5.637
196.29  -5.628
196.60  -5.619
196.90  -5.609
197.21  -5.600
197.51  -5.590
197.82  -5.581
198.12  -5.571
198.42  -5.562
198.73  -5.552
199.03  -5.543
199.34  -5.533
199.64  -5.524
199.95  -5.514
200.25  -5.504
200.56  -5.495
200.86  -5.485
201.17  -5.475
201.47  -5.465
201.78  -5.455
202.08  -5.445
202.39  -5.435
202.69  -5.424
203.00  -5.414
203.30  -5.404
203.61  -5.393
203.91  -5.382
204.22  -5.372
204.52  -5.362
204.83  -5.351
205.13  -5.341
205.44  -5.330
205.74  -5.320
206.04  -5.309
206.35  -5.298
206.65  -5.288
206.96  -5.277
207.26  -5.267
207.57  -5.257
207.87  -5.247
208.18  -5.237
208.48  -5.227
208.79  -5.217
209.09  -5.208
209.40  -5.198
209.70  -5.189
210.01  -5.180
210.31  -5.170
210.62  -5.161
210.92  -5.151
211.23  -5.142
211.53  -5.132
211.84  -5.123
212.14  -5.113
212.45  -5.104
212.75  -5.094
213.06  -5.085
213.36  -5.075
213.66  -5.065
213.97  -5.055
214.27  -5.045
214.58  -5.034
214.88  -5.024
215.19  -5.013
215.49  -5.001
215.80  -4.990
216.10  -4.979
216.41  -4.968
216.71  -4.957
217.02  -4.946
217.32  -4.935
217.63  -4.924
217.93  -4.913
218.24  -4.902
218.54  -4.892
218.85  -4.881
219.15  -4.870
219.46  -4.860
219.76  -4.850
220.07  -4.840
220.37  -4.830
220.68  -4.821
220.98  -4.812
221.28  -4.804
221.59  -4.796
221.89  -4.788
222.20  -4.779
222.50  -4.771
222.81  -4.763
223.11  -4.755
223.42  -4.747
223.72  -4.738
224.03  -4.730
224.33  -4.721
224.64  -4.713
224.94  -4.705
225.25  -4.696
225.55  -4.688
225.86  -4.679
226.16  -4.670
226.47  -4.661
226.77  -4.652
227.08  -4.642
227.38  -4.633
227.69  -4.623
227.99  -4.613
228.30  -4.602
228.60  -4.592
228.90  -4.582
229.21  -4.572
229.51  -4.562
229.82  -4.553
230.12  -4.543
230.43  -4.533
230.73  -4.523
231.04  -4.514
231.34  -4.504
231.65  -4.494
231.95  -4.484
232.26  -4.475
232.56  -4.465
232.87  -4.456
233.17  -4.446
233.48  -4.437
233.78  -4.428
234.09  -4.419
234.39  -4.410
234.70  -4.400
235.00  -4.391
235.31  -4.382
235.61  -4.373
235.92  -4.364
236.22  -4.355
236.52  -4.346
236.83  -4.337
237.13  -4.327
237.44  -4.318
237.74  -4.309
238.05  -4.300
238.35  -4.292
238.66  -4.283
238.96  -4.274
239.27  -4.265
239.57  -4.256
239.88  -4.247
240.18  -4.239
240.49  -4.230
240.79  -4.221
241.10  -4.212
241.40  -4.204
241.71  -4.195
242.01  -4.187
242.32  -4.178
242.62  -4.170
242.93  -4.162
243.23  -4.153
243.54  -4.145
243.84  -4.137
244.14  -4.128
244.45  -4.120
244.75  -4.112
245.06  -4.105
245.36  -4.097
245.67  -4.089
245.97  -4.081
246.28  -4.073
246.58  -4.065
246.89  -4.058
247.19  -4.051
247.50  -4.044
247.80  -4.036
248.11  -4.026
248.41  -4.015
